Epoch : 0, Mean Accuracy(U) = 0.06901283579858147, Mean Accuracy(V) = 0.05760777604201953, Loss : 7.789787040667587
Epoch : 1, Mean Accuracy(U) = 0.10514972231351356, Mean Accuracy(V) = 0.1001400962381569, Loss : 7.733320471945773
Epoch : 2, Mean Accuracy(U) = 0.12324997393241167, Mean Accuracy(V) = 0.11217984095371422, Loss : 7.734123342492607
Epoch : 3, Mean Accuracy(U) = 0.12821406697454577, Mean Accuracy(V) = 0.11376457677962337, Loss : 7.729380934425954
Epoch : 4, Mean Accuracy(U) = 0.12837178428153542, Mean Accuracy(V) = 0.11473186523376429, Loss : 7.7334009502710925
Epoch : 5, Mean Accuracy(U) = 0.1263863534373306, Mean Accuracy(V) = 0.11477330516703774, Loss : 7.732683556803157
Epoch : 6, Mean Accuracy(U) = 0.12964921825531633, Mean Accuracy(V) = 0.1145479149349347, Loss : 7.724960005685185
Epoch : 7, Mean Accuracy(U) = 0.1294536375472127, Mean Accuracy(V) = 0.1148663548029017, Loss : 7.728729130177015
Epoch : 8, Mean Accuracy(U) = 0.12718255107700155, Mean Accuracy(V) = 0.11494717094295905, Loss : 7.723254744926195
Epoch : 9, Mean Accuracy(U) = 0.12825899310423222, Mean Accuracy(V) = 0.11460230977765215, Loss : 7.72183187891928
Epoch : 10, Mean Accuracy(U) = 0.12776379671645693, Mean Accuracy(V) = 0.11548927066816736, Loss : 7.726803967122281
Epoch : 11, Mean Accuracy(U) = 0.1272958600944288, Mean Accuracy(V) = 0.1149735604319374, Loss : 7.730769821767057
Epoch : 12, Mean Accuracy(U) = 0.12895544990112845, Mean Accuracy(V) = 0.11331043989711877, Loss : 7.733483459172624
Epoch : 13, Mean Accuracy(U) = 0.1286932981095512, Mean Accuracy(V) = 0.11430560392688419, Loss : 7.726879334181882
Epoch : 14, Mean Accuracy(U) = 0.12850536922087374, Mean Accuracy(V) = 0.11451250204998525, Loss : 7.7291542010360885
Epoch : 15, Mean Accuracy(U) = 0.12770437996963666, Mean Accuracy(V) = 0.11414259752555576, Loss : 7.7280272151646985
Epoch : 16, Mean Accuracy(U) = 0.1273839196345513, Mean Accuracy(V) = 0.11453842077521449, Loss : 7.7239301981550925
Epoch : 17, Mean Accuracy(U) = 0.12751989783500386, Mean Accuracy(V) = 0.11398378728326755, Loss : 7.73216376679667
Epoch : 18, Mean Accuracy(U) = 0.1290883859498935, Mean Accuracy(V) = 0.11462953137336557, Loss : 7.735875338650821
Epoch : 19, Mean Accuracy(U) = 0.12743440204881265, Mean Accuracy(V) = 0.1152078277415489, Loss : 7.727454544453138
Epoch : 20, Mean Accuracy(U) = 0.1289722396266266, Mean Accuracy(V) = 0.11462126883340004, Loss : 7.722939507345135
Epoch : 21, Mean Accuracy(U) = 0.12725611745532128, Mean Accuracy(V) = 0.11434700569012399, Loss : 7.7174034011497925
Epoch : 22, Mean Accuracy(U) = 0.12833609657234318, Mean Accuracy(V) = 0.11474833687564817, Loss : 7.728847514377551
Epoch : 23, Mean Accuracy(U) = 0.12899558950858658, Mean Accuracy(V) = 0.1145702965703726, Loss : 7.729081861088785
Epoch : 24, Mean Accuracy(U) = 0.12767774873711135, Mean Accuracy(V) = 0.11447029871603745, Loss : 7.7230998746464765
Epoch : 25, Mean Accuracy(U) = 0.12839707701821151, Mean Accuracy(V) = 0.11525697420463014, Loss : 7.725074253725202
Epoch : 26, Mean Accuracy(U) = 0.1272474935723698, Mean Accuracy(V) = 0.11521556862438699, Loss : 7.728230883566181
Epoch : 27, Mean Accuracy(U) = 0.12705497664563947, Mean Accuracy(V) = 0.11527204755094546, Loss : 7.726663584119819
Epoch : 28, Mean Accuracy(U) = 0.1267557999213555, Mean Accuracy(V) = 0.11450986450065533, Loss : 7.737410223885869
Epoch : 29, Mean Accuracy(U) = 0.12947797476071163, Mean Accuracy(V) = 0.1158986417351271, Loss : 7.72836715183901
Epoch : 30, Mean Accuracy(U) = 0.12873083961004764, Mean Accuracy(V) = 0.11472817037450038, Loss : 7.729747799005401
Epoch : 31, Mean Accuracy(U) = 0.12657716161888496, Mean Accuracy(V) = 0.11448053719141513, Loss : 7.731620343883386
Epoch : 32, Mean Accuracy(U) = 0.1274479129684145, Mean Accuracy(V) = 0.11462933288919025, Loss : 7.732185572720645
Epoch : 33, Mean Accuracy(U) = 0.1267742195072935, Mean Accuracy(V) = 0.11501539351655816, Loss : 7.732954127065251
Epoch : 34, Mean Accuracy(U) = 0.12554131087784481, Mean Accuracy(V) = 0.11357136643061368, Loss : 7.726822504836522
Epoch : 35, Mean Accuracy(U) = 0.12795354122640498, Mean Accuracy(V) = 0.11431613758385595, Loss : 7.723400105251355
Epoch : 36, Mean Accuracy(U) = 0.1276556253855682, Mean Accuracy(V) = 0.11568076591032861, Loss : 7.729894954167055
Epoch : 37, Mean Accuracy(U) = 0.1294530904433962, Mean Accuracy(V) = 0.11401362861562847, Loss : 7.722979186625963
Epoch : 38, Mean Accuracy(U) = 0.1264944815088478, Mean Accuracy(V) = 0.1144388733272772, Loss : 7.724528226959571
Epoch : 39, Mean Accuracy(U) = 0.1285882936191266, Mean Accuracy(V) = 0.11475959067392279, Loss : 7.726728460761938
Epoch : 40, Mean Accuracy(U) = 0.12818421546350917, Mean Accuracy(V) = 0.11335167625687917, Loss : 7.732262563169672
Epoch : 41, Mean Accuracy(U) = 0.12837327545751928, Mean Accuracy(V) = 0.11517530432815203, Loss : 7.719778666335546
Epoch : 42, Mean Accuracy(U) = 0.1276737599685878, Mean Accuracy(V) = 0.113682321629295, Loss : 7.732898706800483
Epoch : 43, Mean Accuracy(U) = 0.12794094002594011, Mean Accuracy(V) = 0.11357254588465555, Loss : 7.7226327938979935
Epoch : 44, Mean Accuracy(U) = 0.12770220936705254, Mean Accuracy(V) = 0.1144018509392393, Loss : 7.729414463043213
Epoch : 45, Mean Accuracy(U) = 0.12941919545345432, Mean Accuracy(V) = 0.11574921368712673, Loss : 7.725644384877065
Epoch : 46, Mean Accuracy(U) = 0.12897870817500742, Mean Accuracy(V) = 0.1150269145050688, Loss : 7.723201189148292
Epoch : 47, Mean Accuracy(U) = 0.12916789667479772, Mean Accuracy(V) = 0.1156073700248262, Loss : 7.722101666954126
Epoch : 48, Mean Accuracy(U) = 0.12834564035310725, Mean Accuracy(V) = 0.11527854154601544, Loss : 7.7253772114100085
Epoch : 49, Mean Accuracy(U) = 0.12912304179584086, Mean Accuracy(V) = 0.11490859630688328, Loss : 7.732076789555925
Epoch : 50, Mean Accuracy(U) = 0.12768276809654533, Mean Accuracy(V) = 0.11443687448984476, Loss : 7.730645565504439
Epoch : 51, Mean Accuracy(U) = 0.1281068740688547, Mean Accuracy(V) = 0.11476668648319101, Loss : 7.725983850071939
Epoch : 52, Mean Accuracy(U) = 0.12592808401250885, Mean Accuracy(V) = 0.11380903087322618, Loss : 7.726521475931232
Epoch : 53, Mean Accuracy(U) = 0.1285744824285929, Mean Accuracy(V) = 0.11635546833267431, Loss : 7.721656949332591
Epoch : 54, Mean Accuracy(U) = 0.1281313245201202, Mean Accuracy(V) = 0.11582587056584318, Loss : 7.729309526722083
Epoch : 55, Mean Accuracy(U) = 0.12882457503418412, Mean Accuracy(V) = 0.11470496299399964, Loss : 7.724497762958655
Epoch : 56, Mean Accuracy(U) = 0.12964985060554166, Mean Accuracy(V) = 0.11525461529654636, Loss : 7.7287079082446155
Epoch : 57, Mean Accuracy(U) = 0.12803499480602543, Mean Accuracy(V) = 0.1140000031859255, Loss : 7.7259514251451815
Epoch : 58, Mean Accuracy(U) = 0.12811691278772266, Mean Accuracy(V) = 0.11504720823966239, Loss : 7.722266106123335
Epoch : 59, Mean Accuracy(U) = 0.12749381116162634, Mean Accuracy(V) = 0.1136848828385574, Loss : 7.723428908358799
Epoch : 60, Mean Accuracy(U) = 0.12816539636455157, Mean Accuracy(V) = 0.11367115434976344, Loss : 7.724830627441406
Epoch : 61, Mean Accuracy(U) = 0.1278787037859625, Mean Accuracy(V) = 0.11559016297362602, Loss : 7.730726134911012
Epoch : 62, Mean Accuracy(U) = 0.1280694559848008, Mean Accuracy(V) = 0.11421082900549615, Loss : 7.726580309064201
Epoch : 63, Mean Accuracy(U) = 0.12898486754611516, Mean Accuracy(V) = 0.11619347598190836, Loss : 7.7287667413775845
Epoch : 64, Mean Accuracy(U) = 0.1271792544584228, Mean Accuracy(V) = 0.11390783273317148, Loss : 7.728948475269789
Epoch : 65, Mean Accuracy(U) = 0.12782246914761983, Mean Accuracy(V) = 0.1143758571462771, Loss : 7.727419912145379
Epoch : 66, Mean Accuracy(U) = 0.12867247253915448, Mean Accuracy(V) = 0.11396249094912159, Loss : 7.725703909156028
Epoch : 67, Mean Accuracy(U) = 0.1293452995405102, Mean Accuracy(V) = 0.1142250906024278, Loss : 7.729799977849039
