Epoch : 0, Mean Accuracy(U) = 0.1847772784243906, Mean Accuracy(V) = 0.15069998051303854, Loss : 7.787083938386705
Epoch : 1, Mean Accuracy(U) = 0.2016331955959467, Mean Accuracy(V) = 0.17099526333971088, Loss : 7.74979289372762
Epoch : 2, Mean Accuracy(U) = 0.2156537321960033, Mean Accuracy(V) = 0.18377386599170925, Loss : 7.724211862352159
Epoch : 3, Mean Accuracy(U) = 0.21626737771931692, Mean Accuracy(V) = 0.18352983608808104, Loss : 7.725527281231351
Epoch : 4, Mean Accuracy(U) = 0.2166589992116638, Mean Accuracy(V) = 0.18347632998511898, Loss : 7.719018157323202
Epoch : 5, Mean Accuracy(U) = 0.21809978874362246, Mean Accuracy(V) = 0.18295486000389746, Loss : 7.713293711344401
Epoch : 6, Mean Accuracy(U) = 0.21612687229839844, Mean Accuracy(V) = 0.1845941452752976, Loss : 7.71099214024014
Epoch : 7, Mean Accuracy(U) = 0.21848036577912405, Mean Accuracy(V) = 0.1844404363307824, Loss : 7.715878915786743
Epoch : 8, Mean Accuracy(U) = 0.21570649092970515, Mean Accuracy(V) = 0.185158049222293, Loss : 7.715796295801798
Epoch : 9, Mean Accuracy(U) = 0.21683496315192746, Mean Accuracy(V) = 0.18409958058744327, Loss : 7.71522478527493
Epoch : 10, Mean Accuracy(U) = 0.2167192869986536, Mean Accuracy(V) = 0.1837085680626417, Loss : 7.7175140592787
Epoch : 11, Mean Accuracy(U) = 0.21621198935303287, Mean Accuracy(V) = 0.18624098728032878, Loss : 7.730293941497803
Epoch : 12, Mean Accuracy(U) = 0.21908894579967414, Mean Accuracy(V) = 0.18765002745890028, Loss : 7.7147644519805905
Epoch : 13, Mean Accuracy(U) = 0.2168272403362388, Mean Accuracy(V) = 0.18338797433035708, Loss : 7.715407212575276
Epoch : 14, Mean Accuracy(U) = 0.21799659642502836, Mean Accuracy(V) = 0.1857971883414824, Loss : 7.710590722825792
Epoch : 15, Mean Accuracy(U) = 0.21889003485508784, Mean Accuracy(V) = 0.18303740278663547, Loss : 7.712110349867079
Epoch : 16, Mean Accuracy(U) = 0.21484280886833895, Mean Accuracy(V) = 0.1833792827026644, Loss : 7.716062699423896
Epoch : 17, Mean Accuracy(U) = 0.21719677291489517, Mean Accuracy(V) = 0.18374460786918934, Loss : 7.714218695958455
Epoch : 18, Mean Accuracy(U) = 0.2174434324511055, Mean Accuracy(V) = 0.18706475428713149, Loss : 7.71739592022366
Epoch : 19, Mean Accuracy(U) = 0.21847953536883505, Mean Accuracy(V) = 0.18342714201566046, Loss : 7.715794038772583
Epoch : 20, Mean Accuracy(U) = 0.21807086278521828, Mean Accuracy(V) = 0.18704285913584182, Loss : 7.7207235177358
Epoch : 21, Mean Accuracy(U) = 0.21523171768707483, Mean Accuracy(V) = 0.18365946313421197, Loss : 7.71308700243632
Epoch : 22, Mean Accuracy(U) = 0.21845204878826535, Mean Accuracy(V) = 0.18595313939377828, Loss : 7.719236511654324
Epoch : 23, Mean Accuracy(U) = 0.21766124906994044, Mean Accuracy(V) = 0.18449269681831054, Loss : 7.720346244176229
Epoch : 24, Mean Accuracy(U) = 0.21688822013180264, Mean Accuracy(V) = 0.18355242324794502, Loss : 7.715437126159668
Epoch : 25, Mean Accuracy(U) = 0.21662525687358272, Mean Accuracy(V) = 0.18336740783553004, Loss : 7.716535101996528
Epoch : 26, Mean Accuracy(U) = 0.2180264635150935, Mean Accuracy(V) = 0.18592122395833333, Loss : 7.719485712051392
Epoch : 27, Mean Accuracy(U) = 0.21939907636231576, Mean Accuracy(V) = 0.1853213355654761, Loss : 7.718909878200955
Epoch : 28, Mean Accuracy(U) = 0.21642831123334755, Mean Accuracy(V) = 0.18385156471442748, Loss : 7.717020050684611
Epoch : 29, Mean Accuracy(U) = 0.21525881674284292, Mean Accuracy(V) = 0.18320035696570303, Loss : 7.729530127843221
Epoch : 30, Mean Accuracy(U) = 0.21840050798965413, Mean Accuracy(V) = 0.18546743241567457, Loss : 7.7130965974595815
Epoch : 31, Mean Accuracy(U) = 0.21610497714710886, Mean Accuracy(V) = 0.18384314989016437, Loss : 7.714914994769626
Epoch : 32, Mean Accuracy(U) = 0.21878044837726757, Mean Accuracy(V) = 0.1861731427597081, Loss : 7.708277246687147
Epoch : 33, Mean Accuracy(U) = 0.2180090248990222, Mean Accuracy(V) = 0.1850662335246599, Loss : 7.705156352784899
