Epoch : 0, Loss : 0.0027380926874690944
Epoch : 1, Loss : 0.002570265260564873
Epoch : 2, Loss : 0.002486403099096443
Epoch : 3, Loss : 0.002419594273169548
Epoch : 4, Loss : 0.002354685233195454
Epoch : 5, Loss : 0.0022851432987027348
Epoch : 6, Loss : 0.0021910542554980914
Epoch : 7, Loss : 0.0020728299899644954
Epoch : 8, Loss : 0.001942889332994541
Epoch : 9, Loss : 0.00181131807549865
Epoch : 10, Loss : 0.0016978946267119318
Epoch : 11, Loss : 0.0016068438030216695
Epoch : 12, Loss : 0.001514826252934676
Epoch : 13, Loss : 0.0014310686305755726
Epoch : 14, Loss : 0.0013537914193958401
Epoch : 15, Loss : 0.0012824852266628405
Epoch : 16, Loss : 0.0012244833154671797
Epoch : 17, Loss : 0.0011643541969456473
Epoch : 18, Loss : 0.0011180184720169567
Epoch : 19, Loss : 0.0010722147335732052
Epoch : 20, Loss : 0.0010304707638198118
Epoch : 21, Loss : 0.0009910555901871787
Epoch : 22, Loss : 0.0009511929543411397
Epoch : 23, Loss : 0.0009175592126704207
Epoch : 24, Loss : 0.0008922376075626902
Epoch : 25, Loss : 0.0008662870995866237
Epoch : 26, Loss : 0.0008316806323394083
Epoch : 27, Loss : 0.0008102237468457676
Epoch : 28, Loss : 0.0007960156689745273
Epoch : 29, Loss : 0.0007707200773020497
Epoch : 30, Loss : 0.000738083994147675
Epoch : 31, Loss : 0.000734794595925592
Epoch : 32, Loss : 0.0007076115065335382
Epoch : 33, Loss : 0.0006890064331234486
Epoch : 34, Loss : 0.0006735388523820099
Epoch : 35, Loss : 0.0006585313334376739
Epoch : 36, Loss : 0.0006420329523271169
Epoch : 37, Loss : 0.000630152017047476
Epoch : 38, Loss : 0.0006170801061328695
Epoch : 39, Loss : 0.0006072000627252122
Epoch : 40, Loss : 0.0005936902340208522
Epoch : 41, Loss : 0.0005794105689360465
Epoch : 42, Loss : 0.0005732140959368923
Epoch : 43, Loss : 0.0005588549458248765
Epoch : 44, Loss : 0.0005530413284518005
Epoch : 45, Loss : 0.000540153729789092
Epoch : 46, Loss : 0.0005312891034294313
Epoch : 47, Loss : 0.0005209326608025748
Epoch : 48, Loss : 0.0005179159419284823
Epoch : 49, Loss : 0.0005069073472567897
Epoch : 50, Loss : 0.0004868286504421534
Epoch : 51, Loss : 0.0004708176310697191
Epoch : 52, Loss : 0.0004662050403719976
Epoch : 53, Loss : 0.00045870536346276786
Epoch : 54, Loss : 0.00045562749770349393
Epoch : 55, Loss : 0.0004446856264518128
Epoch : 56, Loss : 0.00043989071486528385
Epoch : 57, Loss : 0.0004365822561176109
Epoch : 58, Loss : 0.0004315319936482744
Epoch : 59, Loss : 0.0004256265225995894
Epoch : 60, Loss : 0.0004207397608084457
Epoch : 61, Loss : 0.00041323557267419113
Epoch : 62, Loss : 0.0004111582256161939
Epoch : 63, Loss : 0.0004085496455416278
Epoch : 64, Loss : 0.0004160917099477488
Epoch : 65, Loss : 0.0003968972072208325
Epoch : 66, Loss : 0.00040616555209162
Epoch : 67, Loss : 0.00039171400791927974
Epoch : 68, Loss : 0.00038217623808876807
Epoch : 69, Loss : 0.00038583582236245933
Epoch : 70, Loss : 0.000380764741463062
Epoch : 71, Loss : 0.0003908331893392586
Epoch : 72, Loss : 0.0003721745757222769
Epoch : 73, Loss : 0.00037143863899030064
Epoch : 74, Loss : 0.00036831258983018256
Epoch : 75, Loss : 0.00036640843181182526
Epoch : 76, Loss : 0.00036468442801684624
Epoch : 77, Loss : 0.0003574317960323793
Epoch : 78, Loss : 0.0003560799579146578
Epoch : 79, Loss : 0.00035657402533402456
Epoch : 80, Loss : 0.0003483283149928699
Epoch : 81, Loss : 0.00034726942670422874
Epoch : 82, Loss : 0.0003455275695018504
Epoch : 83, Loss : 0.0003429953744569676
Epoch : 84, Loss : 0.00034048201791963493
Epoch : 85, Loss : 0.0003392920858436712
