Epoch : 0, Loss : 0.0028856802357159037
Epoch : 1, Loss : 0.0026983664738359247
Epoch : 2, Loss : 0.002641917592129736
Epoch : 3, Loss : 0.002585825700405656
Epoch : 4, Loss : 0.0025324420553145045
Epoch : 5, Loss : 0.002467589390887223
Epoch : 6, Loss : 0.002384066783911492
Epoch : 7, Loss : 0.0022830513121725364
Epoch : 8, Loss : 0.002152458670073751
Epoch : 9, Loss : 0.0020506844243899547
Epoch : 10, Loss : 0.001961119245356347
Epoch : 11, Loss : 0.0018812016105210273
Epoch : 12, Loss : 0.0018164925501477623
Epoch : 13, Loss : 0.0017453972296350847
Epoch : 14, Loss : 0.0016885348168655166
Epoch : 15, Loss : 0.0016377584635562867
Epoch : 16, Loss : 0.0015877952275628925
Epoch : 17, Loss : 0.0015474921490413584
Epoch : 18, Loss : 0.0015078745639196822
Epoch : 19, Loss : 0.0014774156042432034
Epoch : 20, Loss : 0.0014448105337492108
Epoch : 21, Loss : 0.001416385202227791
Epoch : 22, Loss : 0.0013900634103725753
Epoch : 23, Loss : 0.001365074713979495
Epoch : 24, Loss : 0.0013429880124719929
Epoch : 25, Loss : 0.001323508323057346
Epoch : 26, Loss : 0.0013021276458809587
Epoch : 27, Loss : 0.0012847379549845276
Epoch : 28, Loss : 0.0012703983973108507
Epoch : 29, Loss : 0.0012540295805276776
Epoch : 30, Loss : 0.001239780278033977
Epoch : 31, Loss : 0.001224600847101876
Epoch : 32, Loss : 0.0012125326543745887
Epoch : 33, Loss : 0.0012004660222931114
Epoch : 34, Loss : 0.0011859727419319824
Epoch : 35, Loss : 0.0011750960631063847
Epoch : 36, Loss : 0.0011658378144731273
Epoch : 37, Loss : 0.0011562013032184106
Epoch : 38, Loss : 0.0011485607242986279
Epoch : 39, Loss : 0.0011376515476152931
Epoch : 40, Loss : 0.0011296554515681752
Epoch : 41, Loss : 0.0011204465132728424
Epoch : 42, Loss : 0.0011141145425898353
Epoch : 43, Loss : 0.0011057117760708288
Epoch : 44, Loss : 0.0011006686222663155
Epoch : 45, Loss : 0.0010936265343561968
Epoch : 46, Loss : 0.0010847950505572103
Epoch : 47, Loss : 0.0010801385399300339
Epoch : 48, Loss : 0.0010755869995119586
Epoch : 49, Loss : 0.0010698910941511046
Epoch : 50, Loss : 0.0010592664068624327
Epoch : 51, Loss : 0.0010439884701055734
Epoch : 52, Loss : 0.0010434414785922197
Epoch : 53, Loss : 0.0010357265720632046
Epoch : 54, Loss : 0.0010317429877128364
Epoch : 55, Loss : 0.0010276159390388074
