Epoch : 0, Loss : 0.03429928188108736
Epoch : 1, Loss : 0.016791858575824235
Epoch : 2, Loss : 0.015035280492156744
Epoch : 3, Loss : 0.01440516889302267
Epoch : 4, Loss : 0.014308685364408626
Epoch : 5, Loss : 0.014185984039472209
Epoch : 6, Loss : 0.014244004918469323
Epoch : 7, Loss : 0.014228226368625958
Epoch : 8, Loss : 0.014196941763576535
Epoch : 9, Loss : 0.014161814769936932
Epoch : 10, Loss : 0.014180693837503592
Epoch : 11, Loss : 0.014222942520346907
Epoch : 12, Loss : 0.014174397465669446
Epoch : 13, Loss : 0.014248663425031635
Epoch : 14, Loss : 0.014188141479260391
Epoch : 15, Loss : 0.014194527868595389
Epoch : 16, Loss : 0.014272845360553926
Epoch : 17, Loss : 0.014177018848972187
Epoch : 18, Loss : 0.014246111756397619
Epoch : 19, Loss : 0.014196487847301695
Epoch : 20, Loss : 0.014287848222172923
Epoch : 21, Loss : 0.014188750005430645
Epoch : 22, Loss : 0.014190120487991306
Epoch : 23, Loss : 0.014195806274397507
Epoch : 24, Loss : 0.014179054958124956
Epoch : 25, Loss : 0.014166708870066536
Epoch : 26, Loss : 0.014230836224224832
Epoch : 27, Loss : 0.014192537921998236
Epoch : 28, Loss : 0.014207316924714379
Epoch : 29, Loss : 0.014182384550157521
Epoch : 30, Loss : 0.014238513447344303
Epoch : 31, Loss : 0.014228310642970933
Epoch : 32, Loss : 0.014219572094993459
Epoch : 33, Loss : 0.014200012230624755
Epoch : 34, Loss : 0.014240280921674437
Epoch : 35, Loss : 0.01418896863857905
Epoch : 36, Loss : 0.014217982513623105
Epoch : 37, Loss : 0.014178386754873725
Epoch : 38, Loss : 0.014180453525235255
Epoch : 39, Loss : 0.014253793408473332
Epoch : 40, Loss : 0.0142019873071048
Epoch : 41, Loss : 0.014238676470186975
Epoch : 42, Loss : 0.014270424025340213
Epoch : 43, Loss : 0.014202906212045088
Epoch : 44, Loss : 0.01419085506349802
Epoch : 45, Loss : 0.01419114823349648
Epoch : 46, Loss : 0.01417286138360699
Epoch : 47, Loss : 0.014201698400494124
Epoch : 48, Loss : 0.01417507351272636
Epoch : 49, Loss : 0.014232421159330341
Epoch : 50, Loss : 0.014209446921530698
Epoch : 51, Loss : 0.01424584047247966
Epoch : 52, Loss : 0.014217740359405677
Epoch : 53, Loss : 0.014251701171613403
Epoch : 54, Loss : 0.014220815679679314
Epoch : 55, Loss : 0.014183519190798204
Epoch : 56, Loss : 0.014206332496056955
Epoch : 57, Loss : 0.014217487174189754
Epoch : 58, Loss : 0.01421921034860942
Epoch : 59, Loss : 0.014221207435346312
Epoch : 60, Loss : 0.014214065360526244
Epoch : 61, Loss : 0.014270565306974781
Epoch : 62, Loss : 0.014220986732592185
Epoch : 63, Loss : 0.014194066905313068
Epoch : 64, Loss : 0.01420600979278485
Epoch : 65, Loss : 0.014220530436270766
Epoch : 66, Loss : 0.01423440370708704
Epoch : 67, Loss : 0.014205006468627188
Epoch : 68, Loss : 0.01429606872714228
Epoch : 69, Loss : 0.014183560831265317
Epoch : 70, Loss : 0.014230870041582319
Epoch : 71, Loss : 0.014190492727276351
Epoch : 72, Loss : 0.014191436777926154
Epoch : 73, Loss : 0.01419970326953464
Epoch : 74, Loss : 0.014181481312132545
